k	m	a
1	1	0
1	2	30
1	3	59
1	4	88
1	5	117
1	6	147
1	7	176
1	8	206
1	9	235
1	10	265
1	11	294
1	12	324
2	1	0
2	2	30
2	3	59
2	4	89
2	5	118
2	6	148
2	7	177
2	8	207
2	9	236
2	10	266
2	11	295
2	12	325
3	1	0
3	2	30
3	3	60
3	4	90
3	5	119
3	6	149
3	7	178
3	8	208
3	9	237
3	10	267
3	11	296
3	12	326
4	1	0
4	2	30
4	3	59
4	4	88
4	5	117
4	6	147
4	7	177
4	8	206
4	9	236
4	10	265
4	11	295
4	12	324
4	13	354
5	1	0
5	2	30
5	3	59
5	4	89
5	5	118
5	6	148
5	7	178
5	8	207
5	9	237
5	10	266
5	11	296
5	12	325
5	13	355
6	1	0
6	2	30
6	3	60
6	4	90
6	5	119
6	6	149
6	7	179
6	8	208
6	9	238
6	10	267
6	11	297
6	12	326
6	13	356
