type	monthinteger	monthday
B	1	19
B	2	19
B	3	19
B	4	19
B	5	19
B	6	19
B	7	19
B	8	19
B	9	19
B	10	19
B	11	19
B	12	19
B	13	19
B	14	19
B	15	19
B	16	19
B	17	19
B	18	19
B	19	5
B	20	19
C	1	30
C	2	30
C	3	30
C	4	30
C	5	30
C	6	30
C	7	30
C	8	30
C	9	30
C	10	30
C	11	30
C	12	30
C	13	6
E	1	30
E	2	30
E	3	30
E	4	30
E	5	30
E	6	30
E	7	30
E	8	30
E	9	30
E	10	30
E	11	30
E	12	30
E	13	5
F	1	30
F	2	30
F	3	30
F	4	30
F	5	30
F	6	30
F	7	30
F	8	30
F	9	30
F	10	30
F	11	30
F	12	30
F	13	6
G	1	31
G	2	29
G	3	31
G	4	30
G	5	31
G	6	30
G	7	31
G	8	31
G	9	30
G	10	31
G	11	30
G	12	31
H	1	30
H	2	30
H	3	30
H	4	29
H	5	30
H	6	30
H	7	29
H	8	30
H	9	29
H	10	30
H	11	29
H	12	30
H	13	29
I	1	30
I	2	30
I	3	30
I	4	30
I	5	30
I	6	30
I	7	30
I	8	30
I	9	30
I	10	30
I	11	30
I	12	30
Q	1	31
Q	2	30
Q	3	31
Q	4	30
Q	5	31
Q	6	31
Q	7	30
Q	8	31
Q	9	30
Q	10	31
Q	11	31
Q	12	29
S	1	31
S	2	31
S	3	31
S	4	31
S	5	31
S	6	31
S	7	30
S	8	30
S	9	30
S	10	30
S	11	30
S	12	30
T	1	30
T	2	30
T	3	30
T	4	30
T	5	30
T	6	30
T	7	30
T	8	30
T	9	30
T	10	30
T	11	30
T	12	30
T	13	6
