type	locale	monthinteger	monthlong	monthabbreviation
B	en	1	Bahá	Bahá
B	ar	20	علاء	علاء
B	ar	19	ايام الهاء	ايام الهاء
B	ar	18	ملك	ملك
B	ar	17	سلطان	سلطان
B	ar	16	شرف	شرف
B	ar	15	مسائل	مسائل
B	ar	14	قول	قول
B	ar	13	قدرة	قدرة
B	ar	12	علم	علم
B	ar	11	مشية	مشية
B	ar	10	عزة	عزة
B	ar	9	اسماء	اسماء
B	ar	8	كمال	كمال
B	ar	7	كلمات	كلمات
B	ar	6	رحمة	رحمة
B	ar	5	نور	نور
B	ar	4	عظمة	عظمة
B	ar	3	جمال	جمال
B	ar	2	جلال	جلال
B	ar	1	بهاء	بهاء
B	en	20	ʻAláʼ	ʻAláʼ
B	en	19	Ayyám-i-Há	Ayyám-i-Há
B	en	18	Mulk	Mulk
B	en	17	Sulṭán	Sulṭán
B	en	16	S͟haraf	S͟haraf
B	en	15	Masáʼil	Masáʼil
B	en	14	Qawl	Qawl
B	en	13	Qudrat	Qudrat
B	en	12	ʻIlm	ʻIlm
B	en	11	Mas͟híyyat	Mas͟híyyat
B	en	10	ʻIzzat	ʻIzzat
B	en	9	Asmáʼ	Asmáʼ
B	en	8	Kamál	Kamál
B	en	7	Kalimát	Kalimát
B	en	6	Raḥmat	Raḥmat
B	en	5	Núr	Núr
B	en	4	ʻAẓamat	ʻAẓamat
B	en	3	Jamál	Jamál
B	en	2	Jalál	Jalál
C	en	12	Mesori	Mesori
C	en	11	Epip	Epip
C	en	10	Paoni	Paoni
C	en	9	Pashons	Pashons
C	en	8	Parmouti	Parmouti
C	en	7	Paremhat	Paremhat
C	en	6	Meshir	Meshir
C	en	5	Tobi	Tobi
C	en	4	Koiak	Koiak
C	en	3	Hathor	Hathor
C	en	2	Paopi	Paopi
C	en	1	Thout	Thout
C	en	13	Pi Kogi Enavot	Pi Kogi Enavot
E	en	12	Mesori	Mesori
E	en	11	Epiphi	Epiphi
E	en	10	Payni	Payni
E	en	9	Pachons	Pachons
E	en	8	Pharmouti	Pharmouti
E	en	7	Phanemoth	Phanemoth
E	en	6	Mesir	Mesir
E	en	5	Tybi	Tybi
E	en	4	Cohiac	Cohiac
E	en	3	Athyr	Athyr
E	en	2	Paophi	Paophi
E	en	1	Thoth	Thoth
E	en	13	Epagomenal	Epagomenal
F	fr	9	prairial	prairial
F	fr	1	vendémiaire	vendémiaire
