partid	type	monthshorttype	monthlongtype	monthdaytype	monthmax	monthstart	daystart	yearbefore	yearafter	monthdifference
	G	G	G	G	12	1	1	0	0	0
B	B	G	B	B	20	1	1	0	0	0
C	C	G	C	C	13	1	1	0	0	0
E	E	G	E	E	13	1	1	0	0	0
F	F	F	F	F	13	1	1	0	0	0
G1225	G	G	G	G	12	12	25	0	-1	0
G31	G	G	G	G	12	3	1	1	0	0
G321	G	G	G	G	12	3	21	1	0	0
G325	G	G	G	G	12	3	25	1	0	0
G91	G	G	G	G	12	9	1	1	0	0
H	H	H	H	H	13	1	1	0	0	0
I	I	G	I	I	12	1	1	0	0	0
J	J	G	G	G	12	3	25	1	0	0
J11	J	G	G	G	12	1	1	0	0	0
J1225	J	G	G	G	12	12	25	0	-1	0
J31	J	G	G	G	12	3	1	1	0	0
J321	J	G	G	G	12	3	21	1	0	0
J91	J	G	G	G	12	9	1	1	0	0
Q	G	G	Q	G	12	1	1	0	0	0
QJ	J	G	Q	Q	12	3	25	1	0	2
QJ11	J	G	Q	G	12	1	1	0	0	0
S	S	G	S	S	12	1	1	0	0	0
T	T	G	T	T	13	1	1	0	0	0
U	J	G	G	G	12	3	25	1	0	0
U11	J	G	G	G	12	1	1	0	0	0
U1225	J	G	G	G	12	12	25	0	-1	0
U31	J	G	G	G	12	3	1	1	0	0
U321	J	G	G	G	12	3	21	1	0	0
U91	J	G	G	G	12	9	1	1	0	0
V	G	G	G	G	12	1	1	0	0	0
